naics_code,Business_types,operating_expenses,annual_payroll,employer_cost,employer_costs_health_insurance,employer_costs_contribution_plans,employer_costs_pension_plans,employer_costs_benefits,contract_labor_costs,expensed_equipment_amount,packaging_materials_and_containers,parts_and_supplies_not_for_resale,purchases_of_software,data_processing_and_computer_services,commission_expense_amount,communication_services,repairs_and_maintenance_of_equipment,maintenance_of_buildings_offices,rental_payment_for_machinery,rental_payments_for_buildings_offices,electricity,fuels,water_sewer_and_other_utility,transportation_shipping_warehousing,advertising_and_promotional_services,professional_and_technical_services,depreciation_and_amortization,taxes_and_license,other_operating_expenses
44611,Pharmacies and drug stores ,53280,26322,717,3492.9,592,366.1,5158.9,737.1,469,803.2,2262.3,264.2,438.3,1214.2,736.7,1193.7,1127.7,374.7,9312.1,2902.2,358.6,628.8,1584.7,1347,2030.5,6378.8,2537.7,14825.3
447,Gas stations ,48418,17508,3188,988,255,53,1892,140,238,138,1031,83,151,130,385,1184,951,234,4595,2163,144,596,235,625,783,4347,1506,8075
448,Clothing and accessories stores,90188,33397,6006,2157,426,130,3292,595,216,747,1344,287,347,299,770,396,948,171,16633,1752,93,311,1764,5174,2181,5352,2030,9374
4481,Clothing stores ,65589,24477,4360,1553,330,66,2411,498,163,636,1032,259,269,186,569,272,656,119,11623,1382,61,236,1370,3468,1610,4201,1341,6803
44811,Men's clothing stores ,3474,1335,283,86,9,1,188,8,12,27,42,5,23,52,35,12,37,10,626,85,13,6,37,254,56,176,36,302
44812,Women's clothing stores ,18546,6606,1034,343,76,15,600,83,41,175,285,50,39,1214.2,165,45,201,21,4186,328,17,71,361,683,541,1202,329,2048
44814,Family clothing stores ,29823,11678,2167,844,189,43,1091,328,79,293,518,172,121,1214.2,242,147,291,58,4161,692,19,107,1584.7,1709,2030.5,1960,2537.7,14825.3
4482,Shoe stores ,12400,4288,717,234,38,12,432,20,21,49,113,18,42,1214.2,88,55,195,15,3008,236,27,55,248,586,219,605,560,1204
451,"Sporting, book, and  music stores ",27424,11008,1907,701,99,44,1063,165,119,169,392,99,224,492,250,160,247,52,3889,629,44,104,457,1717,487,1421,530,2861
452,General merchandise stores ,132672,61898,13920,5396,689,1237,6598,269,150,424,2503,196,203,225,550,1323,1662,236,8181,4067,128,425,1162,7300,2032,9443,3775,12600
4521,Department stores,48579,23100,5140,1571,430,453,2686,737.1,469,229,886,172,178,1214.2,292,355,556,132,2242,1467,54,148,419,4826,685,4975,1631,14825.3
452111,Department stores (except discount dept. stores) ,20683,10210,2236,640,592,366.1,1196,737.1,469,141,306,100,165,1214.2,123,42,242,45,1020,678,23,81,1584.7,2365,225,2260,679,14825.3
452112,Discount dept. stores ,27896,12890,2905,932,592,366.1,1490,737.1,469,88,580,73,14,1214.2,169,314,314,87,1222,789,31,67,1584.7,2461,459,2715,952,14825.3
4529,Other general merchandise stores ,84093,38798,8779,3825,259,784,3912,43,117,195,1616,24,25,225,258,968,1106,104,5939,2600,74,277,742,2474,1348,4468,2144,14825.3
45291,Warehouse clubs and superstores ,68433,32668,7686,3449,215,768,3253,4,84,87,1467,7,7,1214.2,180,767,957,59,3301,1956,30,190,579,1929,1102,3566,1773,14825.3
45299,All other general merchandise stores ,15660,6130,1094,376,44,15,658,39,32,108,150,17,17,225,78,202,149,45,2639,644,45,88,164,546,246,902,370,14825.3
453,Miscellaneous store retailers,38256,15325,2873,922,129,31,1791,318,135,242,793,66,153,188,444,272,510,153,5883,899,117,220,569,1773,775,1384,636,14825.3
454,Nonstore retailers ,93697,31855,7067,2672,1011,122,3262,1717,310,790,1489,550,494,3345,736.7,780,395,488,4031,850,139,156,6158,10970,3044,5151,873,11342
4541,Electronic shopping ,74505,24175,5258,1954,872,92,2341,1539,216,747,849,501,435,2130,736.7,449,247,308,3253,639,44,104,5781,10444,2679,3769,645,8832
72,Accommodation and food services,461119,187694,35392,9472,1048,447,24425,2649,2666,4802,13841,658,1020,4511,2380,6536,5257,1710,32622,14140,3031,4961,869,18668,8730,28609,13908,66497
721,Accommodation services ,138357,44919,11305,4276,392,179,6458,1103,518,95,4676,353,539,1812,863,1482,2101,682,3152,4335,964,1906,245,6150,3071,14019,9211,24886
722,Food service and drinking places ,322762,142775,24088,5196,656,269,17967,1546,2147,4708,9165,305,481,2699,1518,5053,3155,1028,29469,9804,2066,3056,624,12518,5659,14590,4698,41611
